FixtureKey,Team,2PM,2PA,3PM,3PA,FTM,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
LIPSCO v A PEAY 14-Jan-2023,2,18,41,7,21,15,16,12,19,13,7,4,12,21
LIPSCO v A PEAY 14-Jan-2023,1,16,29,10,22,24,29,7,25,17,5,2,13,18
QUENNC v A PEAY 29-Dec-2022,2,20,44,8,18,13,15,9,19,18,6,2,10,26
QUENNC v A PEAY 29-Dec-2022,1,18,32,7,19,24,36,11,25,14,4,2,13,18
FGCU v A PEAY 24-Feb-2023,2,20,29,8,33,7,11,8,23,19,6,1,10,16
FGCU v A PEAY 24-Feb-2023,1,17,32,13,26,16,20,7,29,15,6,2,9,14
A PEAY v NO FLA 18-Feb-2023,1,24,45,6,18,7,12,13,22,12,8,2,7,12
A PEAY v NO FLA 18-Feb-2023,2,12,24,13,29,8,9,6,24,6,5,2,11,14
A PEAY v JVILLE 16-Feb-2023,1,6,21,11,28,11,13,9,24,11,5,3,14,14
A PEAY v JVILLE 16-Feb-2023,2,11,31,9,19,11,14,8,24,13,4,1,10,16
NO FLA v A PEAY 11-Dec-2021,2,22,36,11,27,7,11,10,19,20,7,0,11,21
NO FLA v A PEAY 11-Dec-2021,1,12,17,15,29,22,25,2,22,16,3,7,14,14
NO FLA v A PEAY 31-Dec-2022,2,22,50,9,17,14,16,8,27,17,4,4,6,25
NO FLA v A PEAY 31-Dec-2022,1,22,38,9,30,19,28,14,29,17,4,6,10,13
DAYTON v A PEAY 20-Nov-2021,2,15,31,10,21,27,37,11,21,19,2,1,15,19
DAYTON v A PEAY 20-Nov-2021,1,26,39,3,21,20,26,14,21,14,10,3,15,27
TENN v A PEAY 21-Dec-2022,2,9,29,5,26,11,14,11,15,10,6,2,15,16
TENN v A PEAY 21-Dec-2022,1,28,46,8,18,6,12,17,30,27,11,3,13,12
TENNST v A PEAY 22-Jan-2022,2,15,35,6,21,13,16,13,17,10,5,2,15,13
TENNST v A PEAY 22-Jan-2022,1,18,36,6,12,11,15,6,24,10,4,4,16,16
SEMO v A PEAY 01-Jan-2022,2,21,40,5,21,22,38,14,20,15,11,1,12,25
