FixtureKey,TipOff,GameType,IsNeutralSite,Attendance,Season,Team1Conference,Team2Conference
LIPSCO v A PEAY 14-Jan-2023,17:00,RegularSeason,0,0,2023,A-Sun,A-Sun
QUENNC v A PEAY 29-Dec-2022,18:00,RegularSeason,0,552,2023,A-Sun,A-Sun
FGCU v A PEAY 24-Feb-2023,19:00,RegularSeason,0,2291,2023,A-Sun,A-Sun
A PEAY v NO FLA 18-Feb-2023,16:00,RegularSeason,0,1975,2023,A-Sun,A-Sun
A PEAY v JVILLE 16-Feb-2023,20:00,RegularSeason,0,1497,2023,A-Sun,A-Sun
NO FLA v A PEAY 11-Dec-2021,14:00,RegularSeason,0,1872,2022,A-Sun,OVC
NO FLA v A PEAY 31-Dec-2022,14:00,RegularSeason,0,1019,2023,A-Sun,A-Sun
DAYTON v A PEAY 20-Nov-2021,14:00,RegularSeason,0,13407,2022,A-10,OVC
TENN v A PEAY 21-Dec-2022,18:00,RegularSeason,0,18120,2023,SEC,A-Sun
TENNST v A PEAY 22-Jan-2022,16:00,RegularSeason,0,297,2022,OVC,OVC
SEMO v A PEAY 01-Jan-2022,17:28,RegularSeason,0,580,2022,OVC,OVC
A PEAY v SIUE 31-Jan-2022,19:00,RegularSeason,0,1298,2022,OVC,OVC
N ALA v A PEAY 09-Feb-2023,20:45,RegularSeason,0,2142,2023,A-Sun,A-Sun
A PEAY v W KY 30-Nov-2022,20:00,RegularSeason,0,1833,2023,A-Sun,CUSA
BUCKNL v A PEAY 22-Nov-2022,12:00,RegularSeason,1,0,2023,Patriot,A-Sun
E ILL v A PEAY 26-Feb-2022,16:30,RegularSeason,0,1130,2022,OVC,OVC
MURRAY v A PEAY 16-Dec-2022,20:00,RegularSeason,0,5131,2023,MVC,A-Sun
MOREST v A PEAY 05-Feb-2022,16:25,RegularSeason,0,1915,2022,OVC,OVC
A PEAY v TENNST 03-Dec-2022,16:00,RegularSeason,0,1736,2023,A-Sun,OVC
A PEAY v C ARK 07-Jan-2023,17:30,RegularSeason,0,1133,2023,A-Sun,A-Sun
USF v A PEAY 17-Nov-2022,19:00,RegularSeason,0,1910,2023,AAC,A-Sun
UT MAR v A PEAY 20-Jan-2022,19:00,RegularSeason,0,1907,2022,OVC,OVC
TARLET v ABILCH 14-Jan-2023,17:00,RegularSeason,0,1424,2023,WAC,WAC
ABILCH v TARLET 31-Dec-2022,16:00,RegularSeason,0,1152,2023,WAC,WAC
ABILCH v CALBAP 22-Jan-2022,16:00,RegularSeason,0,726,2022,WAC,WAC
CSUBAK v ABILCH 17-Dec-2022,22:00,RegularSeason,0,1097,2023,Big West,WAC
SEATTL v ABILCH 11-Mar-2022,23:30,ConferenceChampionship,1,2730,2022,WAC,WAC
NAU v ABILCH 27-Nov-2022,15:00,RegularSeason,0,266,2023,Big Sky,WAC
ABILCH v SFA 22-Feb-2023,20:00,RegularSeason,0,1844,2023,WAC,WAC
TX ARL v ABILCH 16-Nov-2021,20:00,RegularSeason,0,1480,2022,Sun Belt,WAC
ABILCH v OHIO 21-Mar-2022,19:30,NIT,1,706,2022,WAC,MAC
KAN ST v ABILCH 06-Dec-2022,20:00,RegularSeason,0,7136,2023,Big 12,WAC
LAMAR v ABILCH 29-Jan-2022,16:00,RegularSeason,0,2487,2022,WAC,WAC
UTRGV v ABILCH 26-Jan-2022,20:00,RegularSeason,0,713,2022,WAC,WAC
ABILCH v CSUBAK 15-Dec-2021,21:00,RegularSeason,0,513,2022,WAC,Big West
DIXST v ABILCH 01-Jan-2022,21:00,RegularSeason,0,719,2022,WAC,WAC
SFA v ABILCH 26-Feb-2022,17:00,RegularSeason,0,2580,2022,WAC,WAC
ABILCH v CHI ST 02-Feb-2022,18:00,RegularSeason,0,444,2022,WAC,WAC
UTAH v ABILCH 09-Nov-2021,20:00,RegularSeason,0,2355,2022,Pac-12,WAC
ABILCH v INCWRD 04-Dec-2021,16:00,RegularSeason,0,842,2022,WAC,Southland
ABILCH v JACKST 07-Nov-2022,20:00,RegularSeason,0,2489,2023,WAC,SWAC
GCANYN v ABILCH 17-Feb-2023,23:00,RegularSeason,0,7438,2023,WAC,WAC
NM ST v ABILCH 12-Mar-2022,22:00,ConferenceChampionship,1,3697,2022,WAC,WAC
ABILCH v MIDTEN 22-Mar-2022,20:32,NIT,1,633,2022,WAC,CUSA
AIRFOR v WYO 28-Jan-2022,18:00,RegularSeason,0,1702,2022,MWC,MWC
BOISE v AIRFOR 18-Jan-2022,21:00,RegularSeason,0,6993,2022,MWC,MWC
AIRFOR v CO ST 22-Jan-2022,14:00,RegularSeason,0,2579,2022,MWC,MWC
WYO v AIRFOR 19-Feb-2022,16:00,RegularSeason,0,8312,2022,MWC,MWC
ARK ST v AIRFOR 19-Dec-2021,14:00,RegularSeason,0,0,2022,Sun Belt,MWC
AIRFOR v BOISE 31-Jan-2023,21:00,RegularSeason,0,843,2023,MWC,MWC
TARLET v AIRFOR 21-Dec-2021,20:00,RegularSeason,0,1423,2022,WAC,MWC
AIRFOR v FRESNO 22-Feb-2022,21:00,RegularSeason,0,545,2022,MWC,MWC
FRESNO v AIRFOR 14-Jan-2023,19:00,RegularSeason,0,5864,2023,MWC,MWC
UNLV v AIRFOR 24-Feb-2023,21:30,RegularSeason,0,5831,2023,MWC,MWC
AIRFOR v TAMUCO 14-Nov-2022,21:00,RegularSeason,0,1131,2023,MWC,Southland
UT ST v AIRFOR 14-Feb-2023,21:00,RegularSeason,0,6935,2023,MWC,MWC
AIRFOR v SDSU 21-Jan-2023,22:00,RegularSeason,0,1489,2023,MWC,MWC
SJSU v AIRFOR 25-Jan-2022,22:00,RegularSeason,0,1743,2022,MWC,MWC
AIRFOR v WYO 17-Jan-2023,21:00,RegularSeason,0,1257,2023,MWC,MWC
PORTST v AIRFOR 03-Dec-2022,16:00,RegularSeason,0,1055,2023,Big Sky,MWC
AIRFOR v N MEX 10-Feb-2023,21:00,RegularSeason,0,1899,2023,MWC,MWC
AIRFOR v TARLET 18-Dec-2022,15:30,RegularSeason,0,1038,2023,MWC,WAC
BGSU v AIRFOR 07-Nov-2022,19:00,RegularSeason,0,1389,2023,MAC,MWC
AIRFOR v N MEX 05-Feb-2022,20:00,RegularSeason,0,2723,2022,MWC,MWC
AIRFOR v SO DAK 06-Dec-2022,17:00,RegularSeason,0,855,2023,MWC,Summit
AIRFOR v MONT 27-Nov-2022,15:00,RegularSeason,0,1196,2023,MWC,Big Sky
AIRFOR v TX SOU 17-Nov-2021,21:00,RegularSeason,0,1331,2022,MWC,SWAC
TULSA v AIRFOR 13-Nov-2021,13:00,RegularSeason,0,2538,2022,AAC,MWC
AKRON v NIU 03-Jan-2023,19:00,RegularSeason,0,0,2023,MAC,MAC
BRAD v AKRON 22-Dec-2022,17:00,RegularSeason,0,3530,2023,MVC,MAC
AKRON v E MICH 13-Jan-2023,19:00,RegularSeason,0,2177,2023,MAC,MAC
AKRON v W MICH 18-Jan-2022,18:00,RegularSeason,0,1611,2022,MAC,MAC
TOLEDO v AKRON 28-Jan-2022,19:00,RegularSeason,0,5489,2022,MAC,MAC
AKRON v KENT 03-Feb-2023,21:00,RegularSeason,0,5821,2023,MAC,MAC
AKRON v E MICH 22-Jan-2022,19:00,RegularSeason,0,2090,2022,MAC,MAC
EVANS v AKRON 24-Nov-2021,11:00,RegularSeason,1,150,2022,MVC,MAC
AKRON v FORDHM 22-Nov-2021,17:00,RegularSeason,1,370,2022,MAC,A-10
AKRON v NIU 17-Feb-2022,19:00,RegularSeason,0,2076,2022,MAC,MAC
AKRON v MAINE 19-Dec-2022,19:00,RegularSeason,0,1424,2023,MAC,AEC
OHIOST v AKRON 09-Nov-2021,18:00,RegularSeason,0,11947,2022,Big Ten,MAC
OHIO v AKRON 10-Feb-2023,19:30,RegularSeason,0,5038,2023,MAC,MAC
BALLST v AKRON 06-Jan-2023,20:30,RegularSeason,0,0,2023,MAC,MAC
BGSU v AKRON 20-Jan-2022,19:00,RegularSeason,0,1867,2022,MAC,MAC
BGSU v AKRON 10-Jan-2023,19:00,RegularSeason,0,1844,2023,MAC,MAC
AKRON v FL A&M 12-Dec-2021,14:00,RegularSeason,0,1529,2022,MAC,SWAC
NEVADA v AKRON 23-Nov-2022,17:00,RegularSeason,1,0,2023,MWC,MAC
AKRON v OHIO 04-Jan-2022,18:00,RegularSeason,0,1750,2022,MAC,MAC
AKRON v WRIGHT 14-Dec-2022,19:00,RegularSeason,0,1398,2023,MAC,Horizon
OHIO v AKRON 25-Feb-2022,18:00,RegularSeason,0,8986,2022,MAC,MAC
AKRON v APP ST 23-Nov-2021,13:30,RegularSeason,1,401,2022,MAC,Sun Belt
AKRON v KENT 11-Feb-2022,19:00,RegularSeason,0,3699,2022,MAC,MAC
FL A&M v AL A&M 28-Jan-2023,16:30,RegularSeason,0,1724,2023,SWAC,SWAC
AL A&M v ARK PB 14-Feb-2022,20:00,RegularSeason,0,788,2022,SWAC,SWAC
VANDY v AL A&M 22-Dec-2022,16:00,RegularSeason,0,5010,2023,SEC,SWAC
ARK PB v AL A&M 13-Feb-2023,21:00,RegularSeason,0,1621,2023,SWAC,SWAC
AL A&M v FL A&M 20-Feb-2023,21:00,RegularSeason,0,3277,2023,SWAC,SWAC
AL A&M v FL A&M 29-Jan-2022,17:00,RegularSeason,0,1706,2022,SWAC,SWAC
FL A&M v AL A&M 10-Mar-2022,21:40,ConferenceChampionship,1,777,2022,SWAC,SWAC
ILL v AL A&M 17-Dec-2022,16:00,RegularSeason,0,13813,2023,Big Ten,SWAC
AL A&M v LIPSCO 09-Dec-2022,20:00,RegularSeason,0,952,2023,SWAC,A-Sun
